更新时间,#genre#
2024-12-18 01:25:21,url
央视频道,#genre#:
CCTV-1超清,http://14.145.225.183:8888/udp/239.77.0.129:5146
CCTV-1超清,http://113.119.11.155:10000/udp/239.77.0.129:5146
CCTV-2高清,http://113.100.72.187:8899/udp/239.77.1.158:5146
CCTV-2高清,http://14.145.225.183:8888/udp/239.77.1.158:5146
CCTV-2高清,http://113.119.11.155:10000/udp/239.77.1.158:5146
CCTV-3高清,http://113.100.72.187:8899/udp/239.77.0.169:5146
CCTV-3高清,http://113.119.11.155:10000/udp/239.77.0.169:5146
CCTV-3高清,http://14.145.225.183:8888/udp/239.77.0.169:5146
CCTV-4欧洲高清,http://14.145.225.183:8888/udp/239.253.43.120:5146
CCTV-4欧洲高清,http://113.119.11.155:10000/udp/239.253.43.120:5146
CCTV-4美洲高清,http://14.145.225.183:8888/udp/239.253.43.121:5146
CCTV-4高清,http://14.145.225.183:8888/udp/239.77.1.163:5146
CCTV-5+高清,http://113.90.246.213:4000/udp/239.77.0.87:5146
CCTV-5+高清,http://113.100.72.187:8899/udp/239.77.0.87:5146
CCTV-5+高清,http://14.145.225.183:8888/udp/239.77.0.87:5146
CCTV-5+高清,http://113.119.11.155:10000/udp/239.77.0.87:5146
CCTV-5高清,http://14.145.225.183:8888/udp/239.77.0.170:5146
CCTV-5高清,http://113.119.11.155:10000/udp/239.77.0.170:5146
CCTV-6高清,http://14.145.225.183:8888/udp/239.77.0.171:5146
CCTV-6高清,http://113.119.11.155:10000/udp/239.77.0.171:5146
CCTV-6高清,http://113.100.72.187:8899/udp/239.77.0.171:5146
CCTV-7高清,http://14.145.225.183:8888/udp/239.77.1.159:5146
CCTV-8高清,http://14.145.225.183:8888/udp/239.77.0.172:5146
CCTV-8高清,http://58.62.234.242:10000/udp/239.77.0.172:5146
CCTV-9高清,http://14.145.225.183:8888/udp/239.77.1.160:5146
CCTV-10高清,http://14.145.225.183:8888/udp/239.77.1.113:5146
CCTV-11高清,http://14.145.225.183:8888/udp/239.77.1.108:5146
CCTV-11高清,http://113.100.72.187:8899/udp/239.77.1.108:5146
CCTV-12高清,http://14.145.225.183:8888/udp/239.77.1.109:5146
CCTV-12高清,http://113.119.11.155:10000/udp/239.77.1.109:5146
CCTV-13高清,http://113.100.72.187:8899/udp/239.77.0.188:5146
CCTV-13高清,http://113.119.11.155:10000/udp/239.77.0.188:5146
CCTV-13高清,http://14.145.225.183:8888/udp/239.77.0.188:5146
CCTV-14高清,http://113.100.72.187:8899/udp/239.77.1.161:5146
CCTV-14高清,http://14.145.225.183:8888/udp/239.77.1.161:5146
CCTV-14高清,http://113.119.11.155:10000/udp/239.77.1.161:5146
CCTV-15高清,http://14.145.225.183:8888/udp/239.77.1.120:5146
CCTV-16高清,http://113.90.246.213:4000/udp/239.77.0.165:5146
CCTV-16高清,http://14.145.225.183:8888/udp/239.77.0.165:5146
CCTV-16高清,http://113.119.11.155:10000/udp/239.77.0.165:5146
CCTV-17高清,http://14.145.225.183:8888/udp/239.77.1.121:5146
CCTV-17高清,http://113.119.11.155:10000/udp/239.77.1.121:5146

卫视频道,#genre#:
CHC影迷电影高清,http://113.100.72.187:8899/udp/239.77.0.27:5146
CHC影迷电影高清,http://14.145.225.183:8888/udp/239.77.0.27:5146
东方卫视高清,http://14.145.225.183:8888/udp/239.77.1.218:5146
北京卫视高清,http://14.145.225.183:8888/udp/239.77.1.4:5146
大湾区卫视高清,http://14.145.225.183:8888/udp/239.77.0.215:5146
大湾区卫视高清,http://113.100.72.187:8899/udp/239.77.0.215:5146
大湾区卫视高清,http://113.119.11.155:10000/udp/239.77.0.215:5146
广东卫视超清,http://14.145.225.183:8888/udp/239.77.0.166:5146
广东卫视超清,http://113.90.246.213:4000/udp/239.77.0.166:5146
广东卫视超清,http://113.100.72.187:8899/udp/239.77.0.166:5146
广东卫视超清,http://58.62.234.242:10000/udp/239.77.0.166:5146
广东卫视超清,http://113.119.11.155:10000/udp/239.77.0.166:5146
江苏卫视高清,http://14.145.225.183:8888/udp/239.77.1.18:5146
江西卫视高清,http://14.145.225.183:8888/udp/239.77.1.219:5146
浙江卫视高清,http://14.145.225.183:8888/udp/239.77.1.33:5146
深圳卫视超清,http://14.145.225.183:8888/udp/239.77.0.130:5146
深圳卫视超清,http://113.119.11.155:10000/udp/239.77.0.130:5146
湖北卫视高清,http://14.145.225.183:8888/udp/239.77.1.93:5146
湖南卫视高清,http://113.100.72.187:8899/udp/239.77.1.5:5146
湖南卫视高清,http://14.145.225.183:8888/udp/239.77.1.5:5146
辽宁卫视高清,http://14.145.225.183:8888/udp/239.77.1.103:5146
辽宁卫视高清,http://58.62.234.242:10000/udp/239.77.1.103:5146

广东频道,#genre#:
广东体育超清,http://14.145.225.183:8888/udp/239.77.0.168:5146
